date,userName,score,content,helpfulCount
2023-04-21 04:30:30,천둥,5,영웅문 구버전엔 시세알림이 있었는데 신버전에는 시세알림이 어디있는지 궁금합니다,0
2023-04-27 23:56:14,TH Kim,5,ㅃㄹㄴㆍㄴㄴㅅㄴㆍㄴㄱㄱㅂ0비&,0
2024-01-31 13:15:02,김건희,5,UI도 깔끔하고 너무 좋은데 화면 회전 안되게 고정하는 기능도 부탁드립니다. 가로로 볼때도 있지만 세로로 볼때 폰 살짝 기울일때마다 돌아가서 불편하네요.,0
2023-07-01 03:21:32,레인코트,5,너무 잘되있네요~,0
2023-05-22 15:41:54,Ha Ha,5,글씨체 140으로 처음에 되어있으니깐 해외주식 위험고지 동의 종목이 안뜨더라고요 당황했네요 꼭 이버그 고쳐주십쇼,0
2023-02-14 16:27:48,sky dark,5,기능많아져서 너무 좋고 최곱니다,0
2023-03-08 13:55:50,Jung Sup Yun,5,다 알잖아요,0
2023-03-08 12:31:42,KT P,5,"저는 4050 틀딱아니라서 그런지 이번 신버전 ui만족합니다. 카테고리마다, 그리고 잔고 창 등 제 입맛대로 메뉴 커스텀가능해서 자유도가 높네요. 참고로 대학생때 모기지 이전부터 주식해서 mts.hts다 다룰줄암ㅋㅋ",0
2023-07-02 23:27:52,김기호,5,"상한가포착,조건검색에서 거래대금탭등 순서 조정가능하도록해주세요 바로 보이지않아 시간소요됩니다.",0
2023-02-02 04:24:14,이원일,5,구형보다 어려워요,0
2023-02-02 04:42:41,나찬희,5,"옮기기 전에는 '이전보다 불편하면 어쩌나'했습니다. 그런데 차트 설정 등 대부분 그대로 옮겨지고, 여러모로 개선되거나 좋아진 점이 무척 많은 것 같아서 마음에 듭니다. 오히려 S에서 아쉬웠던 부분이 해결된 점이 훨씬 많은 것 같아요. 다만, 계좌비번 저장 기능이 약화되어서 조금 아쉽습니다. S에서는 거의 반영구적으로 저장이 되었는데, 이번에는 앱 종료하면 다시 비밀번호를 넣어야 하더라고요. 물론 보안 상 더 좋긴 하지만, 이전같이 설정할 수도 있도록 넣어주셨으면 좋겠네요",11
2023-04-28 06:16:34,푸르미르,5,좋아요,0
2024-01-30 09:11:58,sy j,5,갤럭시 폴드 3 씁니다. 이젠 글씨도 크고 괜찮아졌어요. 만족합니다.,1
2023-07-03 06:44:33,김해용,5,확실하게 최고입니다.,0
2023-02-13 21:58:42,Nam Young Lee,5,좋습니다 건의사항으로 차트 바탕색 변경이 가능하도록 했으면 좋겠네요 ~,0
2024-01-24 04:42:33,사쿠라,5,자꾸 껏다켜도 지원하지 않는 종목입니다가 뜨면서 안돼요 답변대로 했더니 됐습니다 빠른 답변 감사합니다,0
2023-05-24 01:15:34,김석수,5,편하게 하세요,0
2024-01-28 12:40:17,jeung hwan park,5,"4등분선이나 피보나치 조정대에서, 우측으로 확장기능좀 넣어주세요.",0
2023-04-15 09:30:22,이민구,5,잘 사용하고 있습니다. 폴드4 사용중인데 관심종목창을 분할해서 띄우게하는 기능이 있었으면 좋겠어요. 다중 차트 분할하는 기능처럼요.,0
2023-07-04 05:08:01,김성진,5,말해뭐행 편리함 그잡채,0
2023-10-28 19:16:33,김정태 (김정태),5,간단명료,0
2023-02-13 00:00:47,김영선,5,처음에는 익숙하지 않아서 조금은 불편 하였으나 신 버전이 여러면에서 많이 편리합니다~!! 감사합니다~~♡♡,0
2024-01-27 15:17:45,LEICA,5,쓸만하네요,0
2023-03-30 00:46:30,심재형,5,주식하기 편하고 정보소식이 빨라서 좋습니다.,0
2023-02-12 08:20:58,강석희,5,너무편해요,0
2023-02-03 03:31:03,장부장,5,좋아요,0
2023-07-05 07:15:01,김용현,5,MTS만 사용하는 유저인데 일본주식 살 수 있었으면 좋겠다ㅠㅠ.. HTS로만 일본주식이 구입가능해서 구입시도조차 못하고있어서 슬픔,0
2023-11-01 07:16:36,박기태,5,ㅑㅂᆢㄴㆍ거비빕,0
2024-01-31 15:16:27,도둥,5,"시세분석에서 각 항목별 필터설정시 다양하게 옵션 선택할 수 있게 해주셨으면 좋겠습니다. 예를들면 관리종목,우선주,스펙,정리매매.ETF,ETN등등에서 지금은 개별선택만 할수있는데 나열한 항목 모두를 필터링 하고싶을때가 더 많습니다.",0
2023-04-13 12:27:35,김정환,5,돈도,0
