score,리뷰내용,작성시간,사용자ID,리뷰추천수
5,우리나라 최고 증권사 한국투자 항상 응원합니다,2024-03-02 05:15:45,헨리샘영어교실 (Henry' English Class),0
5,편리해요,2024-03-19 13:33:59,A7,0
5,계좌개설시 신분증 사진이 모바일 앱 가능해서 편리하고 좋아요.,2024-03-11 11:59:04,그땐 그랬지,1
5,"저는 hts는 사용하지않고 mts로만 매매하는 투자자입니다.따라서 mts앱에서 차트화면을 중요하게 생각하기에 차트화면 개선에 대한 두가지 제안을 할까합니다.[[첫째]]차트화면에서 추세선과 이동평균선, 볼린져밴드, 일목균형표의 색을 설정할때 선택할수있는 색상이 너무 한정적이고 마음에 드는 색도 없네요. 그러니 기존색상 외에도 색상 RGB값을 사용자가 직접 조정할수있게 만들어 주셨음 합니다. 이게 중요한것이 이동평균선과 볼린져밴드선,추세선등이 난무하는 차트에서 그 선들의 색상을 본인이 원하는 색상으로 설정한 차트와 한정된 색상으로만 설정한 차트는 ""시인성에서 아주 큰 차이가 납니다"" [[둘째]]두번째는 차트도구에서 왜 타사 mts에서는다 있는 차트 ""텍스트삽입""도구가 없는가 하는것입니다.차트상에 손절선,익절선 또는 본인의 아이디어나 주의점과 유의점에 대한 글씨를 삽입하여 차트를 볼때 바로 직관적으로 바로 확인할수있는 중요한 기능이니 텍스트삽입 도구를 추가 하여주시길 부탁드립니다.",2023-12-30 05:45:28,델리스파이스,212
5,간단하게 등록되네요. 감사합니다 ㅎㅎ,2023-12-31 08:13:55,Charlles Park,0
5,좋습니다,2023-12-31 10:24:29,이내영,0
5,간편해서 좋아요.,2023-12-31 23:33:09,강정희,0
5,좋아요.,2024-01-02 00:34:47,김택중,0
5,너무좋아요,2024-01-02 02:41:19,이국화,0
5,채권 관심있어서 토스통해서 가입,2024-01-04 05:29:32,최용준,0
5,쉽다,2024-01-04 05:51:10,이종훈,0
5,간단하네요,2024-03-09 17:30:22,이화연,0
5,생각보다 어플이 쉬워요,2024-03-08 04:19:11,yoonjung kim,0
5,좋아요 ~~ 잘 쓰고 있습니다~,2024-03-07 14:26:44,김근숙,0
5,1주 무료,2024-03-06 04:22:37,김택훈,0
5,프로그램 사용하기 편해요^^,2024-03-05 12:27:15,동순,0
5,최고,2024-03-05 11:23:01,블루램,0
5,주변분들의 추천에 믿음이 갑니다^^,2024-03-05 08:55:14,변변병란,0
5,아주좋아요^^,2024-03-05 07:53:49,김지훈,0
5,간편해요~~~,2024-03-05 01:49:24,정선희,0
5,역시 좋네요 한투 어플 좋네요,2024-03-04 15:39:42,손형진,0
5,좋아요,2024-01-05 09:14:01,김연나,0
5,굿,2024-01-07 04:32:53,Ricky,0
5,"전반적으로 만족합니다만.. 채권 관련해서 채권 행사할 수 있는 메뉴가 추가되었으면 합니다. 나무증권 같은 경우 편리하게 행사가능한데, 한투는 아직도 전화해서 행사해야하네요. 개선해주시면 감사하겠습니다.",2024-01-07 06:29:47,2055 LiSt,0
5,참좋아요,2024-01-08 00:22:24,유남훈,0
5,주식은 물론 채권거래용으로 더욱 유용한 한투!! 매우 만족합니다..,2023-12-28 23:24:21,정윤호,0
5,사용이 편리합니다,2024-03-11 12:32:15,권원숙,0
5,개설 및 이용이 편리하다.,2024-03-11 13:08:24,이성욱,0
5,좋습니다!!,2023-12-26 13:56:12,정느린,0
5,사용하기 편해요,2024-03-16 07:34:16,백승빈,0
5,빠르고 간단해서 좋와요,2024-03-15 12:36:38,송재일,2
5,혜택도다양하고좋네요,2024-03-14 23:13:59,윤상엽,0
5,한주 선물로 주식 시작 출발~~^^,2024-03-14 08:52:02,Saeryun Kwon,0
5,내용이 알차요,2024-03-14 04:20:29,김수연,0
5,가입절차도 까다롭지않고 사용이편해요,2024-03-14 00:25:00,조오형,0
5,앱을 많이 사용하지않아 편하고 불편하고는 모르지만 주식도 1주받고 기분이 좋습니다,2023-12-26 10:15:07,손원재,1
5,감사합니다,2024-03-13 01:15:38,박정수,0
5,한국투자증권 모두 성투합시다,2024-03-12 22:40:49,유금태,0
5,편리해요,2024-03-12 22:18:36,정영희,0
5,계좌 개설이 간편해서 좋아요,2024-03-12 11:14:37,홍연표,0
5,아직은 잘 모르나 거래를 해 보려합니다.,2024-01-24 07:38:17,김금옥,0
5,감사합니다,2023-12-26 22:30:13,박동규,0
5,베리굿!!,2024-03-12 09:09:22,김경창,0
5,좋아요,2024-03-12 06:58:14,서신규,0
5,이벤트 응모권 감사해요.,2024-03-12 06:26:37,김은경,0
5,좋아요.추천합니다,2024-03-12 06:20:10,주사랑주사랑,0
5,좋아요,2024-03-12 04:06:32,김동혁,0
5,차분히 한발씩,2024-03-12 03:57:49,김지영,0
5,좋아요,2024-03-12 03:23:21,Seunghoon kim,0
5,멋집니다,2023-12-27 04:05:58,kim patrich,0
5,쉽고 편하네요,2024-03-12 01:00:05,최병천,0
5,좀더사용해볼께요,2024-01-08 03:35:08,신승수,0
5,"좋은거 같은데, 기존의 수익률 차트는 없네요",2024-05-05 02:28:27,미카엘,0
5,굿,2024-01-09 00:10:51,이석균,0
5,단단한 회사 감사해유^,2024-01-20 07:36:20,신소광담주,0
5,너무 깔끔하고 사용하기 편하네요 성투하세요,2024-02-10 08:14:00,킴플랜,1
5,감사합니다,2024-02-08 09:53:21,김상무,0
5,계좌개설하고 주식선물도 받고 좋아요,2024-02-08 04:28:59,이봄,0
5,"매우 좋아요,,,",2024-01-17 15:49:45,유기선유기선,0
5,와우~부끄럽지만 한투 첨 개설했는데요... 빠르고 믿음이 갑니다,2024-02-08 02:28:08,건더기,1
5,이제 시작해봅니다....,2024-02-07 11:27:41,이인정,0
5,처음 접해보는데 보기 편하고 알기쉽게 되어 좋으네요,2024-02-07 07:17:27,우림열혈,1
5,좋아요,2024-02-07 02:19:12,mini Hooni,0
5,👍,2024-02-06 06:17:38,한두희,0
5,좋아유좋아유,2024-02-04 10:36:32,민수르(Teavana),0
5,주식한주줍니다 ㅎㅎ,2024-02-01 00:08:08,광기타,0
5,처음 이지만 빠르고 사용하기 펺하네요,2024-02-13 03:04:40,육성우,0
5,넘 좋아요,2024-01-23 01:25:45,이재근,0
5,사용하기 편리합니다.,2024-01-30 23:57:43,임서영,0
5,주식주는건 좋아,2024-01-23 13:31:34,Kiho 5,0
5,좋습미데이,2024-01-30 09:58:33,Dae Sul Kim,0
5,굿,2024-01-23 16:15:10,이종훈,0
5,초보인데 매뉴 이용하기 수월해요~,2024-01-27 06:23:02,전순복,0
5,편리한 서비스를 제공하는 것을 추천합니다,2024-01-27 05:14:21,김학규,1
5,좋아요,2024-01-26 11:31:13,유정희,0
5,화이팅입니다,2024-01-26 01:32:54,오석일,0
5,좋아요,2024-01-24 12:43:25,김영민,0
5,좋아용,2024-02-11 07:25:26,김철호,1
5,구5,2024-01-17 00:20:56,임성훈,0
5,좋아요~,2024-02-29 08:53:43,양윤석,0
5,아직 잘은 모르겟지만 그래도 안심이 갑니다. ㅎㅎ,2024-02-23 03:34:35,이대길,0
5,앱반응 속도 빠르네요~,2024-02-29 05:31:11,유유자적느리게 살기,0
5,좋아요,2024-01-09 05:28:41,김수동,0
5,편해요,2024-02-28 08:05:13,박준영,0
5,처음하는 사람에게도 쉽게 사용하도록 해서 만족,2024-01-10 22:56:25,양승룡,0
5,파란색 이뻐요~^^,2024-01-11 04:07:05,임낙현,0
5,재접속중입니다라는 메시지만 반복되고 접속이안되네요 .. 재설치를 해봐도 안되고 통신사의 문제인가싶은데 확인부탁드립니다,2024-02-26 23:07:40,신승철,0
5,경험도없고. 폰 앱사용을잘못해서. 요즘 사용하지. 못. 하고있습니다,2024-01-12 02:01:29,윤한숙,0
5,사용하기편해요,2024-02-25 13:59:28,Google 사용자,0
5,굿,2024-02-25 11:50:55,임혜진,0
5,윈윈!,2024-01-13 09:57:40,김태숙,0
5,간편하고 빠른 계좌개설 사용후기는 추후에 남길게요.,2024-02-22 04:45:16,강진구 (녹막둥이),1
5,편리해서 좋습니다,2024-02-14 10:48:04,최미옥,0
5,최가,2024-02-21 11:46:49,김종길,0
5,처음 이용 하는데 사용을 편하게 할수가 있어 아주좋아요,2024-02-21 02:00:37,에라이,1
5,좋아요,2024-02-20 12:01:13,심플go,0
5,설레이는 맘으로 스타트 해보렵니다,2024-02-19 20:42:15,현준호,0
5,처음 이라 잘모르겟씀.,2024-02-19 14:09:19,김정현,0
5,처음 접하는 한투!!! 주식은 일자무식이지만 하나씩 알아가면서 배우고 성장하고 싶은 간절한 맘~♡홧팅^^,2024-02-18 10:40:27,웃멍TV,0
5,감사합니다,2024-01-16 03:09:06,문현구,0
5,처음부터 주식을 주시네요...ㅎㅎ,2024-01-16 07:24:45,찬TV,0
5,갤럭시 s24플러스에서 ui 깨지는 문제하고. 주식 적립식 기능 일단위 추가해주는 거 언제해주시나요? 업데이트 소식이 너무 없네요,2024-02-15 01:36:45,sk kim,0
5,설명이 잘 되어있네요 70이 다 된 분들도 사용할수 있을 것 같아요,2024-02-14 20:31:43,양진이,0
5,굿입니다,2024-03-19 01:13:11,정태성,0
5,좋아요,2024-03-12 00:24:29,박민준,0
5,어플 이 잘 되어 있습니다,2024-04-19 07:30:21,JUN멋지게,0
5,너무 좋아 좋아 좋아 아주좋아요,2024-04-22 09:18:14,김정근,0
5,수월하게 개설했네요,2023-12-14 00:03:46,강인숙,0
5,보기편합니다,2024-03-27 02:17:24,김태호,0
5,모바일 차트 설정중에 오버레이부분을 같은 지표 2개 이상 설정할수 있게 해주세요 예) 볼린저밴드 2개 이상 표현 가능 하게,2024-03-27 03:17:56,오경돈,65
5,좀더 편리하게 변한듯 합니다,2023-12-16 06:55:44,바람,0
