score,리뷰내용,작성시간,사용자ID,리뷰추천수
5,[건의사항] 4월 30일 추가된 웰스 테크 관련하여 리벨런싱 주기 설정 및 계좌 자동 리벨런싱 기능이 추가 되면 좋을 것 같습니다. [리뷰] 투자 시작할 때 부터 이런기능 있으면 정말 좋겠다라고 생각했는데 앞으로 잘 디벨롭 되어 유용하게 사용할 수 있게되면 좋겠네요.,2024-05-04 03:19:42,권진일,2
5,해외도있어서좋아요.,2023-05-02 10:58:06,남선희,0
5,한눈에 들어와서 좋습니다,2023-04-18 17:01:20,홍만오,0
5,최고의 mts,2023-04-24 11:11:00,이규환,0
5,편리합니다,2023-04-25 13:33:57,J여니여니,0
5,좋아요,2023-04-26 04:08:20,김길영 (왕얼큰),0
5,etf종목 분석이 상세하게 나와서 좋아요,2023-04-28 00:10:46,황광신,0
5,정보가 보기쉽게 제공되어 좋아요,2023-04-28 00:39:21,유성미,1
5,갤럭시탭4지원이 안되는건가요 어플 업데이트 이후 화면자체가 검정색으로 표출되고 아무것도 진행이 안됩니다 가능한 방법 좀 알려주세요,2023-05-01 18:58:02,성현이,0
5,굿,2023-05-02 00:06:56,도철수,0
5,매우좋음,2023-05-02 00:19:23,황경호,0
5,만족하며 사용중입니다.,2023-05-02 06:30:39,김인성,0
5,굳,2023-05-02 07:21:30,김찬성,0
5,사용하기 편하고 정보 확인하기도 쉬워요,2023-05-02 08:04:42,서무성,1
5,김준식우리의미래,2023-05-02 15:17:28,김준식,0
5,산업인력공단. 자격증 과학기술 정보통신부. 전믄자격 산업통상자원부. 기술자격 면접시에는. 보일러가 에너지로 바뀌었다고하는데요 어는게 맞는건지 면접시 답변을 어떻게 해야되는건지 과학기술 정보통신부 발급 산업통상자원부 발급 네이버자격증에서는 에너지기상 으로 나오고요 기상. 통일부 전세계 수급자,2023-11-04 19:15:33,鄭乙善,0
5,미래에셋증권이 좋아요 😀,2023-05-03 00:51:23,SEUNG KEUN LEE,0
5,아주 편리해요,2023-05-03 09:23:35,심호근,0
5,잘 사용하고 있어요,2023-05-05 02:39:46,정성원,0
5,추천합니다,2023-05-05 07:06:54,김형찬,0
5,사용 편리합니다ㆍ^^,2023-05-08 05:03:08,박영순 (아자),0
5,좋음 이거만함,2023-05-08 10:16:28,진영,0
5,예약투자상담이 생겨서 시간 없을때 예약해 두면 참 좋네요. ^^ 종종 이용할게요.,2023-05-09 07:24:08,Snow Lee,0
5,굿,2023-05-09 21:10:39,곽창용,0
5,다른증권보다 편리하고상세합니다,2023-05-10 23:51:29,H&H Kim,0
5,+빠른피드백이 좋네요👍,2023-05-11 04:06:38,김지민,0
5,알림 버그가 좀 있는것 같네요 주가 설정한 금액에 알림이 안울릴때가 종종 있습니다 서버 문제인지 앱 버그인지는 모르겠으나 제 개인적으로는 심각한 문제라서요 수저좀 해주세요,2023-05-11 04:31:41,양준 (add9),0
5,오늘보다 나은 내일을 위하여,2023-05-11 11:49:48,박호순,0
5,"정정, 취소시 간편하네요",2023-04-17 06:20:56,장멜로디,0
5,모든정보를 확인가능하니 너무 편하고좋습니다.,2023-04-13 09:08:12,정채화,0
5,상한가 가즈아!,2023-04-13 07:07:56,김병민,0
5,좋아요,2023-04-13 00:21:04,나는185,0
5,보기편하고 계좌계설이 편리하다,2023-03-12 01:08:03,Lora Kim,0
5,좋아요,2023-03-15 07:51:39,김영민,0
5,굿,2023-03-15 21:29:38,BNI,0
5,사용하기편해요,2023-03-16 01:30:18,jiyong an,0
5,굿,2023-03-20 05:45:36,심우명,0
5,점점 마음에 들어요,2023-03-20 08:10:14,용귀YONGGUI,0
5,감사합니다,2023-03-21 03:05:42,김영철,0
5,화면 꺼짐만 없으면 좋을것 같아요,2023-03-21 10:44:51,김성환,0
5,최고증권사인데 앱도 사용자 중심으로 되어있습니다. 다른 증권사앱은 상대적으로 거의 쓰레기 수준입니다. 수수료 정책도 만족스럽고..,2023-03-23 04:52:05,여희수,0
5,이용하기 아주 편리합니다,2023-03-24 10:59:31,이기석,0
5,고맙습니다~♡,2023-03-27 00:55:35,꼼꼼히색종이,0
5,좋아요,2023-03-27 12:05:00,최동건,0
5,주식 투자할때 다른 투자상품과 정보를 활용해서 투자할때 도움이 되서 좋아요,2023-03-28 18:43:25,이이,0
5,👍,2023-03-29 13:16:00,양창수,0
5,즐겨찾기에서 홈 버튼 삭제할 수 있게 해주세요. 불편하네요. 즐겨찾기모드에서 투자나우와 홈 버튼 사용도 하지 않는데 삭제할 수 있게해주세요. 작은 모바일에서 쓰지 않는 메뉴는 삭제할 수 있어야합니다. 감사합니다.,2023-03-30 03:04:19,JH LEE,0
