score,리뷰내용,작성시간,사용자ID,리뷰추천수
5,시스템이 안정적입니다,2023-06-08 23:30:31,foryou Kang,0
5,사용해보니 넘조아여^^♡♡♡,2024-01-29 15:24:38,한민,0
5,새로 만들어 보고 싶습니다,2024-02-05 00:33:32,박숙희,0
5,잘 사용하고있음,2023-07-20 22:56:29,이옥순,0
5,좋습니다,2023-06-08 23:21:32,이승연,0
5,レイアウトがいいですね.,2023-06-08 23:19:15,dandy hera,0
5,Mpop 역시 최고예요!!!!!!!! 매번 쓰는데 항상 편리하고 증권사 중.. 최고 앱 아닐까싶어요ㅋㅋ,2023-06-08 23:18:42,우로라,0
5,좋아요,2024-02-04 23:47:56,시중당,0
5,이전의 요청사항을 적용해주셔서 감사합니다. 다만 아직도 자동주문에서 신규잔고 편입 기능은 반영되지 않아서 다시한번 리뷰남깁니다. 여러 증권사 어플을 사용하지만 지원하는 증권사가 많은것을 보면 기술적으론 어려운것은 아닌듯합니다. 신규매수 종목이 매수됨과 동시에 사용자의 설정값으로 자동매도주문이 설정되는 신규잔고 편입 기능을 반영시켜주셨으면 합니다.,2024-03-17 19:56:34,룡룡,18
5,다른 증권사 앱보다 사용하기가 편하고 깔끔해요,2023-11-03 00:51:16,박유성,0
5,사용하기 편리합니다.,2023-06-08 23:16:14,Hyeon cheol Jeong,0
5,Fantastic!,2023-06-08 23:14:45,Joon Hwang,0
5,삼성이라는 이름이 아깝지 않게 시안성이 좋고 인터페이스가 직관적이면 좋겠어요. 특히 관심 종목을 쉽게 추가 삭제할 수 있으면 좋겠어요~다른 앱들은 버튼 하나로 추가 삭제할 수 있는데 그 점이 아쉬워요,2023-06-08 21:22:07,한다요!,4
5,없음,2024-02-04 23:29:23,이두리,0
5,안녕하세요 삼성증권 mpop를 진짜진짜 오래동안 사용해왔고 앞으로도 쭉~~사용할 이용자입니다 몇가지 의견 드리고자 글 남깁니다 1. MY자산 화면상에 개인연금에 있는 연금자산이 국내주식 혹은 펀드에 포함이되서 자세한 내 자산사항을 한눈에 파악하기 어려움이 있습니다.. 그래프와 자산구문을 연금으로 분리해서 보여준다면 정말정말 좋을듯합니다!! 2. 이건 어플 관련 의견은 아닌데.. 수수료 이밴트를 신규/휴먼만 하지마시구.. 장기이용 고객도 가끔 부탁드리겠습니다. 가끔 섭섭함이..ㅜ 3. 월간성과 일간성과를 12시부터 7시까지 못보는데.. 그냥 온종일 볼수있게 해주셨으면 좋겠습니다 4. 마지막으로 받은 수년간 배당금을 한눈에 볼수있는 매뉴가 만들어 졌으면 좋겠습니다 수익율도 좋은 동기가 되지만 배당금도 좋은 동기가 되서 필요항 메뉴라고 생각합니다. 좋은 어플만들어주시고 유지관리 해주셔서 감사합니다. 앞으로도 좋은서비스 부탁드리겠습니다!!,2023-06-02 09:42:12,오,0
5,차트 봉 사이 간격을 왜이렇게 띄워놓으셨는지... 굳이 하실거면 설정란에 차트 봉 사이 간격을 0까지 조절 가능하게 할수있는 기능 넣어주세요,2024-02-04 15:45:03,danny jeong,5
5,삼성은 영원한 삼성,2024-02-04 14:05:18,막기타JOO,0
5,역시 삼성증권이 다르네요....굿^^,2023-05-30 04:34:18,한효건,1
5,최근조회가 자꾸 사라지는데 이유가 무엇인가요?,2023-07-05 03:47:42,이문영,0
5,꾸준히 사용한 유저입니다 지속적으로 편의성이 좋아지고 있어서 만족하고 있습니다,2023-05-30 03:56:16,이근영,0
5,원앱에서 개설/국내/해외주식 다 할수있어서 편해요.,2023-05-30 03:55:58,Rumi Kim,0
5,UX화면이 보기좋고 거래하기 편리하네요. 다양한 주식정보제공도 많고 상담도 바로받아볼수있어 만족합니다.,2023-05-30 03:55:00,Joy Song,0
5,다른증권사 어플 사용하다가.. 이벤트 통해서 삼성증권 어플을 사용하게 되었는데 기능들도 다양하고 무엇보다 기능들에 쉽게 접근할 수 있어서 계속 사용중입니다.. 기능들을 많이 만들어만 놓고.. 정작 필요한 기능으로 찾아가는 것이 힘든 어플들이 있는데.. 삼성증권 어플은 기능들이 잘 정렬되어 있어 보기가 편한 것 같습니다..,2023-05-30 03:53:44,seo y,185
5,사용하기 편리합니다. 쓰다보니 익숙해져서 그런지.. 다른 증권사들보다 눈에 잘 들어옵니다. 투자정보들도 많아서 좋아요. 공모주청약 많이 할 수 있게 해주세요.,2023-05-30 03:53:04,진성모,1
5,삼성증권 mts 호가창 호가 위 그래프 자꾸 지워도 계속 뜨네요 귀찮게... 지웟졋다 안됬다 반복적으로 그러네요 ...,2024-03-27 00:43:24,뜨뜨바바바바바밤,0
5,상세하게 상세하게 잘 구성되어 있습니다..,2023-08-05 11:08:40,M K,0
5,사용하기 편하고 좋아요,2024-02-04 06:29:56,seungwoo Choi,0
5,"삼성증권 앱 잘 사용하고 있는데요 아래 홈, 좌우 스크롤 메뉴, 메뉴 이부분이 해외주식으로 넘어가면 제가 세팅해놓은 좌우 스크롤 메뉴가 바껴요. 해외주식으로 넘어가도 아래 세팅해놓은 좌우 스크롤 메뉴 안바뀌게 해주세요.",2023-09-29 02:16:16,jhws 0816,1
5,상담원 직원인성이 절재된 쓰래기. 걷은 친절한데 오래끌면 압박주고 빨리 안받으면 받은순간 끊음. 내돈 해킹당한거 200만도 안돌려주고 답변 딴소리하고. 문제생기면 통화내역 내놓으라고 함. 자기들 녹음 있는데. 위장친절 진짜역겹.,2023-05-24 10:51:30,이현주,0
5,상담원 친절합니다,2023-07-06 01:34:37,Koo Koo,0
5,관심종목 모아놓은것 중 수급이 이탈하여 지우고 싶은종목이있는데 상단 들어가서 일일이 지우려니 불편합니다. 손가락으로 몇초 누르면 지울수있게 (종목을 삭제하시겠나요? 문구)하는 기능좀 추가해주세요 종목검색에서 패턴으로 찾기 그런기능도 넣어주세요,2024-01-02 08:47:08,츄(린네),1
5,삼성증권 좋아요 이거만 씀,2023-06-08 23:27:13,Yu Jin Park,0
