score,리뷰내용,작성시간,사용자ID,리뷰추천수
5,학교 시간표랑 급식등 여러가지를 볼수 있어 좋고 편리합니다,2024-04-29 12:35:50,김민서,0
5,요며칠사이에 토스가 배터리 다 털어 먹음 매일 무려 15퍼에 육박함 왜이럼 안그러다가 왜 내 배터리 광탈 시키는거임!!! 여튼 그건 그거대로 고쳐 달라는 건의 사항이고 토스 자체는 편하게 잘 쓰고 있어서 괜찮음 ㅋㅋ ^~^,2024-04-15 03:09:25,요시요시,1
5,어플 연결이 자동으로 되지않아요 ㅜ 어플로 가기해도 연결이.되지않고 토스 화면에 남아있습니다,2024-04-29 10:30:18,이뚠뚠,0
5,너무좋아요 재미도있고요,2024-04-29 09:27:53,이애숙,0
5,좋습니다 좋아요 좋아,2024-04-29 06:17:48,김재현,0
5,사용하기 좋은 토스체크카드 전후면디자인 컬러가 🌈🌈👍💯💯💯,2024-04-29 03:49:35,Kim산지기,0
5,송금 보낼때 받는사람 보내는사람 제가 원하는대로 좀 적을수 있게 바꿔주세요~~,2024-04-29 03:28:07,HeeYa,0
5,"토스 너무너무 잘 쓰고 있는데요, 지출 내역에서 ""앞으로 이 내역 모두 숨기기""는 있는데, 숨겼던 것들을 다시 전체 노출시키는 버튼은 없어서 너무 불편합니다. 이 부분 개선 부탁드립니다. -----> 1. 말씀하신 ""고정 지출 추가하기"" 버튼은 제 모바일 환경에서 활성화되어있지 않습니다. 2. 제가 말씀드린건 고정지출을 추가하고 빼는게 아니라, ""해당 거래내역과 유사한 건을 다 제외하는"" 내역을, 그 시점 이후부터 다시 살리고 싶다는 의미였습니다. 재확인 요청드립니다.",2024-04-15 00:04:03,Hyerin Park (Hailey),170
5,굽굽,2024-04-15 07:03:39,드림월드,0
5,스팀에서 게임살때 편하긴함,2024-04-29 12:30:46,아로나,0
5,간단하게 사용하기 편리해요~!!,2024-04-27 22:05:38,정윤선,0
5,만 14세가 지나면 유스홈은 없어지는건가요?,2024-04-15 11:29:13,하태윤,0
5,토스페이 QR 깔끔하게심플하게 만들어주세요..뭔가 정신없어요ㅠㅠ 그리고 토스페이 장보는데 장바구니 기능 없나요? 없으면 만들어주세요,2024-04-15 11:40:03,정의진,1
5,좋아요,2024-04-27 11:27:23,토스,0
5,이제 어느 정도 수정은 잘 된 것같습니다. 질문이 한 가지 더 있습니다. KB PAY 포인트는 언제쯤 토스에 현출이 되도록 업데이트가 되겠습니까?,2024-04-15 13:29:52,틀니청소부1급,0
5,점검중인지 뭔지 알수는 없지만 10분 넘게 어플 접속 자체가 안됩니다,2024-04-15 21:08:25,김재일,0
