score,리뷰내용,작성시간,사용자ID,리뷰추천수
5,긋긋,2024-03-19 06:06:02,네팔렘,0
5,며칠 전 키움으로 주식 입문했습니다. 오류가 많다는 후기때문에 걱정했는데 저는 전혀 없네요. 잘 사용하고 있습니다.,2024-03-21 17:38:17,Reader Nature,0
5,good,2023-12-20 05:52:32,young su Na,0
5,자세한 설명 감사감사 했음ᆢ,2024-03-08 03:49:46,이명숙,0
5,잘사용 하고 있습니다. 기능 중에 차트에 글씨 넣을수 있으면 좋겠네요 HTS에서 글을 넣어서 잘 사용하는데 MTS는 그 기능이 없어 아쉽네요.,2023-12-15 02:42:00,박정민,0
5,good,2024-03-14 11:15:59,유창순,0
5,물타기 기능 추가해주세요 부탁합니다,2023-12-12 15:25:37,뭉옐,0
5,안녕하세요. 잘 사용하고 있습니다. 요청사항이 있습니다. 자동감시주문->자동매도->요약 에서요 감시조건이 나왔으면 좋겠습니다.. '감시기준가/매입단가' 는 사실상 필요가 없어서요.(저만 그런지 모르겠지만요) 감사합니다.,2023-12-12 10:50:40,Bread “밀향기” Sweet,3
5,점심시간 쯤에 장 후 동시호가에 자동으로 주문을 넣을 수 있는 방법이 있으면 좋을 것 같습니다. 특정 가격 이상이면 주문하는 식으로,2024-03-18 15:12:20,김영일,0
5,"시세분석에서 각 항목별 필터설정시 다양하게 옵션 선택할 수 있게 해주셨으면 좋겠습니다. 예를들면 관리종목,우선주,스펙,정리매매.ETF,ETN등등에서 지금은 개별선택만 할수있는데 나열한 항목 모두를 필터링 하고싶을때가 더 많습니다.",2024-01-31 15:16:27,도둥,0
5,앱이 세개나 깔려서 두개 삭제하려니까 다삭제 됐네요! 힘들게 만들었는데~,2023-12-05 05:31:25,김미정,1
5,"글자 폰트 조절 너무 좋아요 인사이트 기능 넘 좋아요😄 근데 글자 폰트 조절해서 잘 보이는 데요 폰트크기 조절한 이전 값을 기억시켜 주세요. 매번 매기사마다 초기화 돼서 다시 크기 조절하는 거 힘드네요^^ 제발~^^ 그리고 뉴스 볼때 우측에서 좌측으로 스와이프해서 다음 기사를 볼 수 있게 기능 넣어 주세요 상단에 작은 페이지 넘기기 표시 누르기 쉽지 않네요 이상 폰트 크기 고정 과 기사 스와이프 넘기기 개선 요청 드립니다^^ 끝으로 지금 사용해보고 느낀것 폰트를 확대하면 제목 부분의 글자도 살짝 커지면서 반응하면 좋을 듯한데요 기사 내용만 커지네용, 연동해서 커지게 개선 부탁해요! 제발요~^^",2024-03-23 12:21:29,Ryan Kim,17
5,답변감사합니다 제가 잘 몰랐네요 ㅠㅠ,2023-11-10 00:44:33,쌈아치,0
5,주식을 처음 시작한 증권사라 다른 어플은 불편함,2024-03-26 23:19:47,Kwangho Moon,0
5,편하고좋아요,2023-12-04 08:11:51,이성철,0
5,영웅문은 아직까지 평균매입가가 차트에 표시가 안됩니까? 아님 제가 기능을 모르는것일까요? 된다면 방법좀 알려주시고 안된다면 대체 언제쯤 되는지도 알려주세요,2023-12-02 11:35:58,SunJin Kim,0
5,내폰이 문제였습니다 답변감사합니다,2023-12-01 12:10:17,이형진,0
